,rank,name,net_worth,bday,age,nationality,day-bday,month_bday,year_bday,billion
86,87,Lakshmi Mittal,$18 Billion,2-Sep-50,71,India,2,Sep,50,18.0
80,81,Pallonji Mistry,$19 Billion,1-Jun-29,93,India,1,Jun,29,19.0
99,100,Stefan Quandt,$16 Billion,9-May-66,56,Germany,9,May,66,16.0
52,53,Dieter Schwarz,$27 Billion,24-Sep-39,82,Germany,24,Sep,39,27.0
81,82,Susanne Klatten,$19 Billion,28-Apr-62,60,Germany,28,Apr,62,19.0
29,30,Gerard Wertheimer,$45 Billion,17-Apr-51,71,French,17,Apr,51,45.0
3,4,Bernard Arnault,$135 Billion,5-Mar-49,73,France,5,Mar,49,135.0
14,15,Françoise Bettencourt-Meyers,$70 Billion,10-Jul-53,69,France,10,Jul,53,70.0
25,26,Francois Pinault,$50 Billion,21-Aug-36,86,France,21,Aug,36,50.0
91,92,Serge Dassault,$17.3 Billion,4-Apr-25,97,France,4,Apr,25,17.3
28,29,Alain Wertheimer,$45 Billion,28-Sep-48,73,France,28,Sep,48,45.0
72,73,Sir Evelyn De Rothschild,$20 Billion,29-Aug-31,90,England,29,Aug,31,20.0
44,45,Sheikh Mansour bin Zayed Al Nahyan,$30 Billion,20-Nov-70,51,Emirati,20,Nov,70,30.0
27,28,Ma Huateng,$48 Billion,29-Oct-71,50,China,29,Oct,71,48.0
37,38,Jack Ma,$34 Billion,15-Oct-64,57,China,15,Oct,64,34.0
20,21,Zhong Shanshan,$68 Billion,8-Dec-54,68,China,8,Dec,54,68.0
30,31,Zhang Yiming,$44 Billion,1-Apr-83,39,China,1,Apr,83,44.0
65,66,Qin Yinglin,$22 Billion,1-Dec-65,57,China,1,Dec,65,22.0
39,40,Colin Huang,$33 Billion,1-Jan-80,42,China,1,Jan,80,33.0
40,41,Lee Shau Kee,$33 Billion,29-Jan-28,94,China,29,Jan,28,33.0
51,52,He Xiangjian,$27 Billion,5-Oct-42,79,China,5,Oct,42,27.0
53,54,William Ding,$26 Billion,1-Oct-71,50,China,1,Oct,71,26.0
57,58,Eric Yuan,$25 Billion,20-Feb-70,52,China,20,Feb,70,25.0
